IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,测速时间
104.27.22.245,4,4,0.00,168.99,82.27,LAX,2026-06-21 08:10:39
104.25.251.91,4,4,0.00,169.35,77.08,LAX,2026-06-21 08:10:39
104.25.171.129,4,4,0.00,169.60,70.23,LAX,2026-06-21 08:10:39
104.17.219.9,4,4,0.00,170.71,62.97,LAX,2026-06-21 08:10:39
104.18.52.92,4,4,0.00,170.11,52.09,LAX,2026-06-21 08:10:39
104.19.236.34,4,4,0.00,169.24,50.84,LAX,2026-06-21 08:10:39
104.27.198.121,4,4,0.00,169.91,47.17,LAX,2026-06-21 08:10:39
104.17.98.85,4,4,0.00,170.35,45.53,LAX,2026-06-21 08:10:39
104.18.65.76,4,4,0.00,170.66,43.19,LAX,2026-06-21 08:10:39
162.159.26.127,4,4,0.00,168.47,32.91,LAX,2026-06-21 08:10:39
104.18.41.194,4,4,0.00,168.93,84.97,LAX,2026-06-21 09:58:18
104.17.241.66,4,4,0.00,169.66,81.79,LAX,2026-06-21 09:58:18
104.19.96.188,4,4,0.00,171.22,81.09,LAX,2026-06-21 09:58:18
104.29.125.177,4,4,0.00,171.99,74.60,FRA,2026-06-21 09:58:18
104.21.103.166,4,4,0.00,171.12,71.51,LAX,2026-06-21 09:58:18
104.21.219.212,4,4,0.00,171.60,62.08,LAX,2026-06-21 09:58:18
172.67.165.215,4,4,0.00,171.56,55.26,LAX,2026-06-21 09:58:18
172.66.169.244,4,4,0.00,171.37,45.95,LAX,2026-06-21 09:58:18
104.17.9.100,4,4,0.00,170.38,42.89,LAX,2026-06-21 09:58:18
172.67.132.124,4,4,0.00,171.27,40.76,LAX,2026-06-21 09:58:18
104.21.103.223,4,4,0.00,170.79,71.33,LAX,2026-06-21 10:11:37
104.16.236.249,4,4,0.00,171.47,69.25,LAX,2026-06-21 10:11:37
104.17.223.138,4,4,0.00,170.03,56.80,LAX,2026-06-21 10:11:37
172.66.145.170,4,4,0.00,169.46,48.83,LAX,2026-06-21 10:11:37
104.19.207.91,4,4,0.00,170.43,46.40,LAX,2026-06-21 10:11:37
104.20.14.38,4,4,0.00,171.03,44.91,LAX,2026-06-21 10:11:37
104.25.119.186,4,4,0.00,170.95,44.09,LAX,2026-06-21 10:11:37
104.25.142.31,4,4,0.00,170.55,42.23,LAX,2026-06-21 10:11:37
104.21.213.127,4,4,0.00,170.75,37.16,LAX,2026-06-21 10:11:37
172.67.69.197,4,4,0.00,94.88,5.02,HKG,2026-06-21 10:11:37
